Test (3B): leader backs up quickly over incorrect follower logs ...
[2:2] match:[0 0 22 22 22] next:[2 2 23 23 23]
[0:1] match:[51 51 1 1 1] next:[52 52 2 2 2]
[2:2] match:[0 0 23 22 22] next:[2 2 24 23 23]
[0:1] match:[51 51 1 1 1] next:[52 52 2 2 2]
[2:2] match:[0 0 23 23 23] next:[2 2 24 24 24]
[0:1] match:[51 51 1 1 1] next:[52 52 2 2 2]
[2:2] match:[0 0 24 23 23] next:[2 2 25 24 24]
[0:1] match:[51 51 1 1 1] next:[52 52 2 2 2]
[2:2] match:[0 0 24 24 24] next:[2 2 25 25 25]
[0:1] match:[51 51 1 1 1] next:[52 52 2 2 2]
[2:2] match:[0 0 25 24 24] next:[2 2 26 25 25]
[0:1] match:[51 51 1 1 1] next:[52 52 2 2 2]
[2:2] match:[0 0 25 25 25] next:[2 2 26 26 26]
[0:1] match:[51 51 1 1 1] next:[52 52 2 2 2]
[2:2] match:[0 0 26 25 25] next:[2 2 27 26 26]
[0:1] match:[51 51 1 1 1] next:[52 52 2 2 2]
[2:2] match:[0 0 26 26 26] next:[2 2 27 27 27]
[0:1] match:[51 51 1 1 1] next:[52 52 2 2 2]
[2:2] match:[0 0 27 26 26] next:[2 2 28 27 27]
[0:1] match:[51 51 1 1 1] next:[52 52 2 2 2]
[2:2] match:[0 0 27 27 27] next:[2 2 28 28 28]
[0:1] match:[51 51 1 1 1] next:[52 52 2 2 2]
[2:2] match:[0 0 28 27 27] next:[2 2 29 28 28]
[0:1] match:[51 51 1 1 1] next:[52 52 2 2 2]
[2:2] match:[0 0 28 28 28] next:[2 2 29 29 29]
[0:1] match:[51 51 1 1 1] next:[52 52 2 2 2]
[2:2] match:[0 0 29 28 28] next:[2 2 30 29 29]
[0:1] match:[51 51 1 1 1] next:[52 52 2 2 2]
[2:2] match:[0 0 29 29 29] next:[2 2 30 30 30]
[0:1] match:[51 51 1 1 1] next:[52 52 2 2 2]
[2:2] match:[0 0 30 29 29] next:[2 2 31 30 30]
[0:1] match:[51 51 1 1 1] next:[52 52 2 2 2]
[2:2] match:[0 0 30 30 30] next:[2 2 31 31 31]
[0:1] match:[51 51 1 1 1] next:[52 52 2 2 2]
[2:2] match:[0 0 31 30 30] next:[2 2 32 31 31]
[0:1] match:[51 51 1 1 1] next:[52 52 2 2 2]
[2:2] match:[0 0 31 31 31] next:[2 2 32 32 32]
[0:1] match:[51 51 1 1 1] next:[52 52 2 2 2]
[2:2] match:[0 0 32 31 31] next:[2 2 33 32 32]
[0:1] match:[51 51 1 1 1] next:[52 52 2 2 2]
[2:2] match:[0 0 32 32 32] next:[2 2 33 33 33]
[0:1] match:[51 51 1 1 1] next:[52 52 2 2 2]
[2:2] match:[0 0 33 32 32] next:[2 2 34 33 33]
[0:1] match:[51 51 1 1 1] next:[52 52 2 2 2]
[2:2] match:[0 0 33 33 33] next:[2 2 34 34 34]
[0:1] match:[51 51 1 1 1] next:[52 52 2 2 2]
[2:2] match:[0 0 34 33 33] next:[2 2 35 34 34]
[0:1] match:[51 51 1 1 1] next:[52 52 2 2 2]
[2:2] match:[0 0 34 34 34] next:[2 2 35 35 35]
[0:1] match:[51 51 1 1 1] next:[52 52 2 2 2]
[2:2] match:[0 0 35 34 34] next:[2 2 36 35 35]
[0:1] match:[51 51 1 1 1] next:[52 52 2 2 2]
[2:2] match:[0 0 35 35 35] next:[2 2 36 36 36]
[0:1] match:[51 51 1 1 1] next:[52 52 2 2 2]
[2:2] match:[0 0 36 35 35] next:[2 2 37 36 36]
[0:1] match:[51 51 1 1 1] next:[52 52 2 2 2]
[2:2] match:[0 0 36 36 36] next:[2 2 37 37 37]
[0:1] match:[51 51 1 1 1] next:[52 52 2 2 2]
[2:2] match:[0 0 37 36 36] next:[2 2 38 37 37]
[0:1] match:[51 51 1 1 1] next:[52 52 2 2 2]
[2:2] match:[0 0 37 37 37] next:[2 2 38 38 38]
[0:1] match:[51 51 1 1 1] next:[52 52 2 2 2]
[2:2] match:[0 0 38 37 37] next:[2 2 39 38 38]
[0:1] match:[51 51 1 1 1] next:[52 52 2 2 2]
[2:2] match:[0 0 38 38 38] next:[2 2 39 39 39]
[0:1] match:[51 51 1 1 1] next:[52 52 2 2 2]
[2:2] match:[0 0 39 38 38] next:[2 2 40 39 39]
[0:1] match:[51 51 1 1 1] next:[52 52 2 2 2]
[2:2] match:[0 0 39 39 39] next:[2 2 40 40 40]
[0:1] match:[51 51 1 1 1] next:[52 52 2 2 2]
[2:2] match:[0 0 40 39 39] next:[2 2 41 40 40]
